book_i,book_j,title_i,title_j,price_increase_avg_plain_logit,rel_price_increase_avg_plain_logit,price_increase_avg_mlogit_attributes,rel_price_increase_avg_mlogit_attributes,price_increase_avg_mlogit_texts,rel_price_increase_avg_mlogit_texts
9,3,Don't Believe Everything You Think,The Ritual,2.7014229512301142,3.0542759738435343,1.6778634716840912,1.8477971418525807,2.254562361921728,2.493137051389338
9,4,Don't Believe Everything You Think,The Inmate,4.475234870901602,4.968624656463561,4.157664910913148,4.515964192998401,4.16533605820085,4.4827759286122815
9,5,Don't Believe Everything You Think,The Serpent & The Wings of Night,3.0556905151830094,3.437115150847281,2.2921911379569053,2.522330294400632,2.129042889594551,2.3348920030776377
9,6,Don't Believe Everything You Think,The Ashes & The Star Cursed King,2.3905242697137865,2.7186150012563526,1.3891725808122715,1.5387863927410872,1.7200171828638844,1.9172157266782675
9,7,Don't Believe Everything You Think,Court of Ravens and Ruin,2.9160374934739295,3.2864522182131317,3.0882936854080967,3.413573633654987,2.1462820486224885,2.3552673630848786
9,8,Don't Believe Everything You Think,Dopamine Detox,3.2654435875776713,3.663345493352854,6.250724223294604,6.700248684839583,8.495941864670307,8.943854749294921
9,10,Don't Believe Everything You Think,The Art of Letting Go,2.6918799129903164,3.043848593409315,3.5303877783301303,3.9059882238271726,5.053153315856619,5.517497492471435
10,1,The Art of Letting Go,Please Tell Me,5.555577335327193,6.204640491919033,5.522725159710433,6.071701691006892,5.197985768458565,5.683543443771588
10,2,The Art of Letting Go,The Housemaid,4.236044789321845,4.750074659455739,4.291353735018852,4.740353023741484,3.578331874261444,3.9348244092629603
10,3,The Art of Letting Go,The Ritual,2.1332575396635036,2.4246541173819303,1.5647933352724266,1.7417574405440228,1.8428975115602881,2.062423937378133
10,4,The Art of Letting Go,The Inmate,3.829012484254811,4.301536442048393,3.7060416240786296,4.101285220445439,3.6586386878094004,4.032925635340778
10,5,The Art of Letting Go,The Serpent & The Wings of Night,2.462926339202994,2.78979467797279,2.0562053696768885,2.2901372121586605,1.8552634873996467,2.0649647587725695
10,6,The Art of Letting Go,The Ashes & The Star Cursed King,1.8045141036773913,2.0591625413846737,1.2821463949502956,1.4320361538370796,1.3735654237850454,1.5438967882608678
10,7,The Art of Letting Go,Court of Ravens and Ruin,2.3444201944202376,2.6589600551404358,2.429941072352122,2.7162271339421507,1.7613323762054591,1.959760665675947
10,8,The Art of Letting Go,Dopamine Detox,2.699132254901812,3.051900255579154,3.9365463519029404,4.320226684114282,5.125730282622904,5.581308657868311
10,9,The Art of Letting Go,Don't Believe Everything You Think,2.692164597678662,3.044108292994674,3.53607065142878,3.912032539846122,5.065969638834247,5.5310687953827316
